data,method,target_coverage,ATT,ci_l_ATT,ci_u_ATT,pv_rob_ATT,acc_hum,acc_ML,acc_system,N,N_h_l,N_h_r,c,p,q,coef_rob,se_rob,pv_rob,ci_rob_l,ci_rob_u
cifar10h,DT,0.6,-0.002645502645502673,-0.01365768902810318,0.00836668373709789,0.6377477295454859,0.9780952380952381,0.8347368421052631,0.908,"[950, 1050]",244.0,324.0,0.9524851999999999,1.0,2.0,-0.03249325488176469,0.06979610518269667,0.6415409413044628,-0.16929110730101957,0.10430459753749019
cifar10h,DT,0.7,-0.0070796460176990594,-0.016891339086099418,0.0027320470507011894,0.15729855456200517,0.9829545454545454,0.8482142857142857,0.907,"[1120, 880]",299.0,304.0,0.9601183575000001,1.0,2.0,-0.015556407000541617,0.030480608012034723,0.6097918315865603,-0.0752973009310127,0.044184486929929455
cifar10h,DT,0.8,-0.005390835579514808,-0.01597094769454919,0.005189276535519544,0.3179636002370523,0.9854497354497355,0.8609324758842444,0.908,"[1244, 756]",204.0,213.0,0.966824115,1.0,2.0,-0.07941275618684007,0.047397534844241765,0.09384367183429354,-0.17231021743753622,0.013484705063856073
cifar10h,DT,0.9,-0.005154639175257714,-0.01528368583087928,0.004974407480363816,0.3185610025668617,0.9901639344262295,0.8712230215827338,0.9085,"[1390, 610]",167.0,197.0,0.9739670875,1.0,2.0,-0.018655906734735606,0.02750469975945192,0.4975937396214115,-0.07256412766884886,0.035252314199377646
cifar10h,LCE,0.1,0.021358159912376773,0.00734865028622831,0.03536766953852527,0.002807564728999609,0.9550321199143469,1.0,0.9585,"[132, 1868]",121.0,314.0,-0.4025767967104911,1.0,2.0,-0.001701863521706537,0.008299491286970218,0.8375280869835606,-0.017968567534172145,0.014564840490759071
cifar10h,LCE,0.2,0.027346177750155354,0.011698986462508474,0.042993369037802265,0.0006139476697509469,0.9528301886792453,1.0,0.961,"[304, 1696]",188.0,255.0,-0.28670517355203623,1.0,2.0,0.0015482096806282986,0.0038161429309895383,0.6849629472428505,-0.005931293023968318,0.009027712385224915
cifar10h,LCE,0.3,0.03305203938115331,0.015526620656257682,0.050577458106048925,0.00021868575474555776,0.9505776636713735,1.0,0.9625,"[442, 1558]",159.0,162.0,-0.21443355828523633,1.0,2.0,-0.0004736241474694314,0.0007043346925350471,0.501302426314183,-0.0018540947779002162,0.0009068464829613534
cifar10h,LCE,0.4,0.04114189756507136,0.02077034155274711,0.06151345357739564,7.548654775847588e-05,0.9474053295932678,1.0,0.9635,"[574, 1426]",292.0,359.0,-0.14499062299728388,1.0,2.0,-0.003529317200665627,0.008970034031390517,0.693982428345739,-0.021110260842289667,0.014051626440958413
cifar10h,LCE,0.5,0.05870236869207002,0.034824091358377864,0.08258064602576218,1.4473112563011709e-06,0.9427450980392157,0.9972413793103448,0.9675,"[725, 1275]",365.0,466.0,-0.0744392648339271,1.0,2.0,0.006649995877586523,0.02519411671600937,0.7918181786989793,-0.04272956550809038,0.056029557263263426
cifar10h,LCE,0.6,0.07272727272727275,0.043900015598952416,0.10155452985559303,7.625174968431073e-07,0.9372693726937269,0.9945414847161572,0.967,"[916, 1084]",405.0,447.0,0.0033605098724365,1.0,2.0,0.023094966340659218,0.017146131518935043,0.17799662790243254,-0.010510833910640519,0.056700766591958954
cifar10h,LCE,0.7,0.097770154373928,0.06319204536641967,0.13234826338143624,2.993278461846253e-08,0.9369565217391305,0.9935185185185185,0.9675,"[1080, 920]",386.0,361.0,0.06343814730644218,1.0,2.0,-0.0023375845087019176,0.02692585203432272,0.9308180724143347,-0.055111284749028995,0.05043611573162516
cifar10h,LCE,0.8,0.12569832402234637,0.07804392600708676,0.17335272203760593,2.3433199608603154e-07,0.9298701298701298,0.9902439024390244,0.9615,"[1230, 770]",392.0,339.0,0.1188152432441711,1.0,2.0,0.027912061660729792,0.03506775190185387,0.4260630116340447,-0.04081946908568977,0.09664359240714936
