data,method,target_coverage,ATT,ci_l_ATT,ci_u_ATT,pv_rob_ATT,acc_hum,acc_ML,acc_system,N,N_h_l,N_h_r,c,p,q,coef_rob,se_rob,pv_rob,ci_rob_l,ci_rob_u
cifar10h,CC,0.5,0.07324516785350965,0.05060027201951492,0.09589006368750436,2.3047410269302483e-10,0.953204476093591,0.9960668633235005,0.975,"[1017, 983]",585.0,560.0,-0.0266504883766174,1.0,2.0,-0.020011790859572498,0.019079471459556404,0.2942402313885374,-0.05740686776436291,0.01738328604521791
cifar10h,CC,0.6,0.09517766497461932,0.06768562729217037,0.12266970265706828,1.1575589344094584e-11,0.9479695431472082,0.995049504950495,0.9765,"[1212, 788]",639.0,389.0,-0.016666948795318562,1.0,2.0,0.015502910003431847,0.012905836115705501,0.22966101908206837,-0.009792063973727241,0.040797883980590935
cifar10h,CC,0.7,0.12685337726523882,0.09183475214956763,0.16187200238091018,1.2486488196684163e-12,0.9357495881383855,0.9956927494615937,0.9775,"[1393, 607]",364.0,190.0,-0.009175038337707452,1.0,2.0,-0.0007894879718961523,0.0024579089707516136,0.7480564858426163,-0.005606901031847228,0.0040279250880549235
cifar10h,CC,0.8,0.19999999999999996,0.1475495974432829,0.25245040255671714,7.803610459343852e-14,0.9064935064935065,0.9944272445820433,0.9775,"[1615, 385]",643.0,63.0,0.021714341640472413,1.0,2.0,0.10086306841359205,0.05033744518111555,0.04509809788840276,0.0022034887848462748,0.19952264804233782
cifar10h,CC,0.9,0.27717391304347827,0.19641021387447827,0.3579376122124785,1.7388336334782347e-11,0.8858695652173914,0.9724669603524229,0.9645,"[1816, 184]",98.0,72.0,0.21381976008415218,1.0,2.0,0.25980450247870923,0.11488062961101116,0.02372725816285756,0.034642605919841696,0.48496639903757677
cifar10h,CC,1.0,0.0,0.0,0.0,0.0,0.0,0.939,0.939,,,,,,,,,,,
cifar10h,CC,0.0,0.0185,0.005480912572752929,0.03151908742724707,0.0053512823122293315,0.9575,0.0,0.9575,,,,,,,,,,,
cifar10h,DT,0.1,0.037577117218171585,0.022965744822311736,0.05218848961403152,4.6412224015271287e-07,0.9618620302860348,0.783410138248848,0.9425,"[217, 1783]",125.0,208.0,0.90130597,1.0,2.0,0.11397690188466991,0.08689162360704929,0.18961687377412761,-0.056327550943357035,0.2842813547126969
cifar10h,DT,0.2,0.03474903474903468,0.02057561228891585,0.048922457209153634,1.5455725657646016e-06,0.9703989703989704,0.8161434977578476,0.936,"[446, 1554]",308.0,505.0,0.9213099499999999,1.0,2.0,0.12228728274467082,0.053641395655754875,0.022624388589919275,0.017152079178927956,0.22742248631041367
cifar10h,DT,0.3,0.015897047691143085,0.002727582434740335,0.029066512947545822,0.017986290510815666,0.9735049205147616,0.8144329896907216,0.9195,"[679, 1321]",370.0,420.0,0.934865878,1.0,2.0,0.21306825786663586,0.06092833412023915,0.00047046760180681,0.0936509173529442,0.33248559838032754
