data,method,target_coverage,N,N_h_l,N_h_r,c,p,q,coef_rob,se_rob,pv_rob,ci_rob_l,ci_rob_u
cifar10h,CC,0.2,"[428, 1572]",194.0,236.0,-0.05839759111404412,1.0,2.0,0.08960260221451088,0.12520794534721832,0.47421964559262353,-0.15580046124429647,0.33500566567331824
cifar10h,CC,0.3,"[617, 1383]",234.0,271.0,-0.0470355212688446,1.0,2.0,-0.14807120030627108,0.10959145194343824,0.17665700231607273,-0.36286649912886215,0.06672409851631997
cifar10h,CC,0.4,"[804, 1196]",393.0,461.0,-0.036750161647796556,1.0,2.0,0.020594440873531794,0.08574707744345897,0.8101933591651305,-0.14746674269521465,0.18865562444227824
cifar10h,CC,0.5,"[1017, 983]",542.0,549.0,-0.0266504883766174,1.0,2.0,0.038922401291862196,0.07654136930549034,0.6110925257340137,-0.11109592587427844,0.18894072845800283
cifar10h,CC,0.6,"[1212, 788]",500.0,371.0,-0.016666948795318562,1.0,2.0,-0.12688771829581857,0.08259489709837911,0.12447319593300675,-0.28877074191543345,0.0349953053237963
cifar10h,CC,0.7,"[1393, 607]",690.0,222.0,-0.009175038337707452,1.0,2.0,0.04480574728046072,0.07284100586606305,0.5384773990754543,-0.09796000081469367,0.1875714953756151
cifar10h,CC,0.8,"[1615, 385]",909.0,84.0,0.021714341640472413,1.0,2.0,-0.11337194832817343,0.16113412602300298,0.48168973115950187,-0.42918903201359754,0.20244513535725067
cifar10h,CC,0.9,"[1816, 184]",108.0,79.0,0.21381976008415218,1.0,2.0,0.07428498393564786,0.21283806187583396,0.7270734355867725,-0.34286995188029423,0.49143991975158996
cifar10h,DT,0.1,"[217, 1783]",131.0,232.0,0.90130597,1.0,2.0,-0.23561041432317154,0.15283312179996444,0.12316625353575936,-0.5351578286959253,0.0639370000495822
cifar10h,DT,0.2,"[446, 1554]",259.0,374.0,0.9213099499999999,1.0,2.0,-0.15468643899823387,0.10006349730414682,0.12213287616387515,-0.35080728988148246,0.041434411885014705
cifar10h,DT,0.3,"[679, 1321]",397.0,469.0,0.934865878,1.0,2.0,0.11482947655030218,0.08675089849381054,0.18561299256384456,-0.05519916012405651,0.28485811322466087
cifar10h,DT,0.4,"[862, 1138]",291.0,361.0,0.947528196,1.0,2.0,-0.024357482101059702,0.1041590664358271,0.8151022926940398,-0.2285055009785956,0.1797905367764762
cifar10h,DT,0.5,"[1052, 948]",256.0,293.0,0.9572655999999999,1.0,2.0,0.0761807306252047,0.1005990595672174,0.4488876392083043,-0.12098980300514098,0.27335126425555034
cifar10h,DT,0.6,"[1244, 756]",263.0,275.0,0.96684264,1.0,2.0,-0.2255835500615152,0.1104751828316531,0.04115761336424352,-0.442110929597033,-0.009056170525997415
cifar10h,DT,0.7,"[1435, 565]",121.0,142.0,0.9760713,1.0,2.0,0.1374485906433518,0.177438401065772,0.4385600503898771,-0.21032428491993488,0.4852214662066385
cifar10h,DT,0.8,"[1629, 371]",145.0,134.0,0.98422218,1.0,2.0,0.04771253079656945,0.15912671691056543,0.7642993177104901,-0.2641701033262396,0.3595951649193785
cifar10h,DT,0.9,"[1806, 194]",198.0,193.0,0.991341567,1.0,2.0,-0.19776166221609326,0.13700503269047415,0.14889015651380458,-0.4662865919901553,0.0707632675579688
cifar10h,LCE,0.1,"[174, 1826]",125.0,232.0,-0.3645091325044632,1.0,2.0,0.13750093412223396,0.14929808213630552,0.35705951757321197,-0.15511792982582767,0.4301197980702956
cifar10h,LCE,0.2,"[391, 1609]",266.0,360.0,-0.2369816541671752,1.0,2.0,-0.059601275461980685,0.10671659129643493,0.5765026256702201,-0.26876195095587374,0.14955940003191237
cifar10h,LCE,0.3,"[578, 1422]",290.0,342.0,-0.14446415901184081,1.0,2.0,0.060895788151817065,0.10518814928860927,0.5626414560174371,-0.1452691960542796,0.2670607723579137
cifar10h,LCE,0.4,"[809, 1191]",352.0,435.0,-0.04059976339340207,1.0,2.0,-0.06506757739464175,0.08828704034920001,0.46112215197337014,-0.23810699678070835,0.10797184199142484
cifar10h,LCE,0.5,"[1029, 971]",361.0,348.0,0.043198421597480705,1.0,2.0,-0.24142885537016312,0.0908208823278753,0.0078536708871558,-0.41943451377694896,-0.06342319696337725
cifar10h,LCE,0.6,"[1230, 770]",485.0,415.0,0.1189984738826751,1.0,2.0,0.01911667773898429,0.09056077173561303,0.8328152817971328,-0.15837917327497011,0.1966125287529387
cifar10h,LCE,0.7,"[1417, 583]",388.0,312.0,0.200228464603424,1.0,2.0,0.0006446705645595241,0.09721714639025957,0.9947090720145084,-0.18989743504010734,0.19118677616922639
cifar10h,LCE,0.8,"[1642, 358]",263.0,201.0,0.30313775837421414,1.0,2.0,-0.14850460594872272,0.12018440857611312,0.21659258463100273,-0.3840617182611512,0.08705250636370579
cifar10h,LCE,0.9,"[1834, 166]",165.0,116.0,0.41261265724897384,1.0,2.0,-0.1059639420840146,0.16521561647627778,0.5212838836076155,-0.4297806000611014,0.2178527158930722
cifar10h,SP,0.1,"[189, 1811]",189.0,1036.0,1.4448165893554693e-05,1.0,2.0,0.101714316474937,0.14629907571444903,0.4868991392133457,-0.18502660289688155,0.38845523584675556
cifar10h,SP,0.2,"[410, 1590]",410.0,799.0,0.00010938644409174001,1.0,2.0,-0.12437345990358539,0.11899317406022457,0.2959235754776003,-0.35759579546773135,0.10884887566056056
cifar10h,SP,0.3,"[590, 1410]",590.0,613.0,0.00037547349929801995,1.0,2.0,-0.252651937348531,0.10613110307731707,0.017286134088301756,-0.46066507701958054,-0.04463879767748141
cifar10h,SP,0.4,"[765, 1235]",765.0,461.0,0.00108816623687738,1.0,2.0,0.12776261694689972,0.1124941683357239,0.25607101328405035,-0.09272190146190526,0.34824713535570473
cifar10h,SP,0.5,"[978, 1022]",978.0,263.0,0.00320360064506525,1.0,2.0,0.01546325268933757,0.1217958105969177,0.8989716900118936,-0.223252149548483,0.25417865492715813
cifar10h,SP,0.6,"[1150, 850]",1150.0,154.0,0.008231031894683773,1.0,2.0,0.026792911445799983,0.1324511895455566,0.8396937926474988,-0.2328066497729791,0.28639247266457907
cifar10h,SP,0.7,"[1377, 623]",59.0,58.0,0.026557499170303284,1.0,2.0,0.24807507803657824,0.24654665486233482,0.31431969615956945,-0.23514748600242502,0.7312976420755815
cifar10h,SP,0.8,"[1603, 397]",153.0,79.0,0.09057604074478157,1.0,2.0,-0.14931860923141937,0.19743130515064988,0.44946536127510417,-0.5362768567474304,0.23763963828459167
cifar10h,SP,0.9,"[1825, 175]",39.0,35.0,0.30918691158294676,1.0,2.0,0.08726300684815191,0.20485103083729228,0.6701204107251204,-0.31423763578884495,0.4887636494851488
cifar10h,OVA,0.1,"[191, 1809]",191.0,347.0,-0.926008392125368,1.0,2.0,-0.043849879340910225,0.1489735377903569,0.768492939062801,-0.33583264805952645,0.248132889377706
cifar10h,OVA,0.2,"[381, 1619]",364.0,261.0,-0.839365328848362,1.0,2.0,0.025766390585590493,0.10857932984335791,0.8124203783592773,-0.18704518537288609,0.23857796654406707
cifar10h,OVA,0.3,"[601, 1399]",138.0,110.0,-0.7145953625440598,1.0,2.0,0.2065496725034639,0.16098301087942654,0.19947364453121252,-0.1089712309430318,0.5220705759499595
cifar10h,OVA,0.4,"[801, 1199]",168.0,137.0,-0.5567300826311111,1.0,2.0,0.07242793737102438,0.14610558105688282,0.6200896622977241,-0.2139337394407635,0.35878961418281224
cifar10h,OVA,0.5,"[995, 1005]",235.0,228.0,-0.33989961445331573,1.0,2.0,0.04410339627470117,0.12730971968069277,0.7290225922123368,-0.20541906918134678,0.2936258617307491
cifar10h,OVA,0.6,"[1215, 785]",198.0,180.0,-0.0974623322486877,1.0,2.0,-0.2789522208252423,0.11800594087395963,0.01808452980321589,-0.5102396148999663,-0.047664826750518335
cifar10h,OVA,0.7,"[1429, 571]",244.0,183.0,0.17161847651004788,1.0,2.0,-0.0607325717803987,0.13005657213135266,0.6405210432158348,-0.31563876911058564,0.19417362554978823
cifar10h,OVA,0.8,"[1605, 395]",79.0,93.0,0.4633018255233767,1.0,2.0,0.044443308487780664,0.2324272699805154,0.8483580687602996,-0.4111057696989972,0.49999238667455853
cifar10h,OVA,0.9,"[1803, 197]",91.0,103.0,0.7214988753199578,1.0,2.0,-0.18526597411813017,0.1996979734864031,0.35354719269825685,-0.5766668099371148,0.20613486170085454
cifar10h,ASM,0.1,"[225, 1775]",225.0,1124.0,-0.9999999999999907,1.0,2.0,0.1953483711198441,0.3396458230375426,0.5651877125154606,-0.47034520953320397,0.8610419517728922
cifar10h,ASM,0.2,"[438, 1562]",438.0,900.0,-0.9999999484102225,1.0,2.0,-0.6690148072816058,0.35628967694569685,0.06041849767737055,-1.3673297421585824,0.029300127595370817
cifar10h,ASM,0.3,"[626, 1374]",626.0,722.0,-0.9999975581026042,1.0,2.0,0.181520338307668,0.16205692737853747,0.2626701674276345,-0.13610540279948846,0.4991460794148245
cifar10h,ASM,0.4,"[838, 1162]",838.0,508.0,-0.999935232844291,1.0,2.0,0.00938923686404397,0.15677673006607998,0.9522438616839859,-0.2978875076794306,0.31666598140751856
cifar10h,ASM,0.5,"[1050, 950]",1050.0,307.0,-0.9981099819706287,1.0,2.0,-0.1720817596861634,0.13011746718884618,0.18599810505497893,-0.4271073091358741,0.08294378976354727
cifar10h,ASM,0.6,"[1239, 761]",1239.0,118.0,-0.9656411483883858,1.0,2.0,-0.06399202336210041,0.1801972183171942,0.7224980843875397,-0.4171720813781024,0.2891880346539016
cifar10h,ASM,0.7,"[1393, 607]",47.0,40.0,-0.6571557953953744,1.0,2.0,0.09045705508860635,0.25281906418030997,0.7204977449900014,-0.4050592053099216,0.5859733154871343
cifar10h,ASM,0.8,"[1584, 416]",28.0,40.0,0.5028311669826508,1.0,2.0,0.618490491492089,0.34538946339431587,0.07334071552765449,-0.058460417400385434,1.2954414003845636
cifar10h,ASM,0.9,"[1814, 186]",153.0,186.0,0.9737779607065022,1.0,2.0,-0.0007158005361670439,0.23730111023275888,0.9975932462778261,-0.4658174300837437,0.4643858290114096
galaxyzoo,RS,0.1,"[213, 1787]",213.0,1126.0,-0.9999999991653483,1.0,2.0,0.024921533929353645,0.2700173325304744,0.9264628245443896,-0.5043027130319517,0.5541457808906589
galaxyzoo,RS,0.2,"[419, 1581]",419.0,922.0,-0.9999999805274132,1.0,2.0,0.06671702068372776,0.1435312695744837,0.6420562926451606,-0.21459909833756996,0.3480331397050255
galaxyzoo,RS,0.3,"[642, 1358]",642.0,704.0,-0.9999995312139092,1.0,2.0,0.015584562460179141,0.13451420822465043,0.907764992323094,-0.24805844106905722,0.2792275659894155
galaxyzoo,RS,0.4,"[786, 1214]",786.0,554.0,-0.9999974061961666,1.0,2.0,0.14871297050250637,0.16550660795257904,0.3689020347202503,-0.17567402028793905,0.4730999612929518
galaxyzoo,RS,0.5,"[994, 1006]",994.0,339.0,-0.9999820311077201,1.0,2.0,-0.17036404075827094,0.13676993978724952,0.2129021413072697,-0.43842819690899176,0.09770011539244988
galaxyzoo,RS,0.6,"[1225, 775]",1225.0,134.0,-0.9998068380256883,1.0,2.0,-0.21624212257709163,0.1402374246315339,0.12308050108669764,-0.49110242413954835,0.05861817898536509
