data,method,target_coverage,ATT,ci_l_ATT,ci_u_ATT,pv_rob_ATT,acc_hum,acc_ML,acc_system,N,N_h_l,N_h_r,c,p,q,coef_rob,se_rob,pv_rob,ci_rob_l,ci_rob_u
cifar10h,CC,0.2,0.03498727735368956,0.019351250503539332,0.050623304203839786,1.1565140870507384e-05,0.9573578595317725,0.996268656716418,0.9665,"[804, 1196]",366.0,425.0,-0.0367369204759597,1.0,2.0,0.011948182362276905,0.03380239083205302,0.7237349785876955,-0.05430328625989392,0.07819965098444773
cifar10h,CC,0.3,0.0462762111352133,0.02919646418392707,0.06335595808649955,1.0940531189963893e-07,0.9540669856459331,0.9968586387434555,0.971,"[955, 1045]",372.0,400.0,-0.02974434196949,1.0,2.0,-0.027233248397683818,0.029235517711236562,0.3515885533828237,-0.08453381018109035,0.030067313385722716
cifar10h,CC,0.4,0.05685618729096986,0.03771965967849992,0.0759927149034399,5.772685167461451e-09,0.9510567296996663,0.9954586739327884,0.973,"[1101, 899]",429.0,449.0,-0.02222503721714015,1.0,2.0,-0.00033302580311467267,0.019447653227719137,0.9863375206388371,-0.038449725713268317,0.03778367410703897
cifar10h,CC,0.5,0.07324516785350965,0.05060027201951492,0.09589006368750436,2.3047410269302483e-10,0.9460526315789474,0.9951612903225806,0.975,"[1240, 760]",605.0,360.0,-0.015172690153121926,1.0,2.0,0.026295948994104368,0.015541834839131899,0.0906562246872688,-0.004165487544264018,0.056757385532472754
cifar10h,CC,0.6,0.09517766497461932,0.06768562729217037,0.12266970265706828,1.1575589344094584e-11,0.9357495881383855,0.9956927494615937,0.9765,"[1393, 607]",513.0,205.0,-0.009150147438049275,1.0,2.0,0.03593347346281406,0.01931650793644061,0.06285060636352255,-0.0019261863996916581,0.07379313332531978
cifar10h,CC,0.7,0.12685337726523882,0.09183475214956763,0.16187200238091018,1.2486488196684163e-12,0.912751677852349,0.9961365099806826,0.9775,"[1553, 447]",601.0,70.0,-0.0008394420146941251,1.0,2.0,-0.024060666235487194,0.0149883752708971,0.10843033204691474,-0.05343734195321628,0.005316009482241899
cifar10h,CC,0.8,0.19999999999999996,0.1475495974432829,0.25245040255671714,7.803610459343852e-14,0.8900709219858156,0.9825378346915018,0.9775,"[1718, 282]",40.0,45.0,0.10720404982566831,1.0,2.0,-0.09176828983136076,0.08067722513492588,0.25533996055598474,-0.2498927454684451,0.06635616580572357
cifar10h,CC,0.9,0.27717391304347827,0.19641021387447827,0.3579376122124785,1.7388336334782347e-11,0.87248322147651,0.968665586169638,0.9645,"[1851, 149]",42.0,42.0,0.2640032768249511,1.0,2.0,0.01993265354287499,0.13843125306068874,0.8855087231971407,-0.25138761679082505,0.29125292387657503
cifar10h,DT,0.1,0.037577117218171585,0.022965744822311736,0.05218848961403152,4.6412224015271287e-07,0.973015873015873,0.8202702702702702,0.9425,"[740, 1260]",321.0,331.0,0.938858675,1.0,2.0,-0.05291963877829886,0.05465730674838044,0.33294052658543716,-0.16004599149708257,0.054206713940484846
cifar10h,DT,0.2,0.03474903474903468,0.02057561228891585,0.048922457209153634,1.5455725657646016e-06,0.9771528998242531,0.8283062645011601,0.936,"[862, 1138]",257.0,333.0,0.947537445,1.0,2.0,0.049215536722109654,0.051728720706497824,0.3413932002972744,-0.05217089282895743,0.15060196627317674
cifar10h,DT,0.3,0.015897047691143085,0.002727582434740335,0.029066512947545822,0.017986290510815666,0.98001998001998,0.8358358358358359,0.9195,"[999, 1001]",203.0,241.0,0.9548600725,1.0,2.0,0.042963181758386204,0.046350465361040746,0.353967978081276,-0.04788206101592497,0.13380842453269737
cifar10h,DT,0.4,0.00702987697715296,-0.0051523937914192295,0.01921214774572503,0.2580496515464378,0.9854014598540146,0.8531409168081494,0.913,"[1178, 822]",262.0,263.0,0.963588315,1.0,2.0,0.05395844085398305,0.04282000596244266,0.20762527671957132,-0.029967228650194938,0.13788411035816103
cifar10h,DT,0.5,-0.00421940928270037,-0.015167696893684947,0.006728878328284102,0.45003346161024105,0.9872701555869873,0.8638824439288476,0.907,"[1293, 707]",177.0,187.0,0.96893848,1.0,2.0,0.028893343127063043,0.025202409251356573,0.2516083309235332,-0.020502471329234905,0.078289157583361
cifar10h,DT,0.6,-0.002645502645502673,-0.01365768902810318,0.00836668373709789,0.6377477295454859,0.9893617021276596,0.8746518105849582,0.908,"[1436, 564]",193.0,228.0,0.9761248499999999,1.0,2.0,-0.016213338641464237,0.03343471700433186,0.6277293675541562,-0.0817441798032436,0.049317502520315123
cifar10h,DT,0.7,-0.0070796460176990594,-0.016891339086099418,0.0027320470507011894,0.15729855456200517,0.9925558312655087,0.886662492172824,0.907,"[1597, 403]",189.0,182.0,0.9826795700000001,1.0,2.0,-0.012725849254413779,0.02500558299116325,0.6108080774217666,-0.061735891329521106,0.03628419282069355
cifar10h,DT,0.8,-0.005390835579514808,-0.01597094769454919,0.005189276535519544,0.3179636002370523,0.9928571428571429,0.8941860465116279,0.908,"[1720, 280]",175.0,201.0,0.9880393175,1.0,2.0,0.001170032064173876,0.006985980042966891,0.8669901162651137,-0.012522237216756809,0.014862301345104561
cifar10h,DT,0.9,-0.005154639175257714,-0.01528368583087928,0.004974407480363816,0.3185610025668617,1.0,0.9014618299945858,0.9085,"[1847, 153]",462.0,153.0,0.9931676974999999,1.0,2.0,0.015699023559175407,0.012751223403918056,0.21825636133706583,-0.009292915071328216,0.040690962189679034
cifar10h,LCE,0.1,0.021358159912376773,0.00734865028622831,0.03536766953852527,0.002807564728999609,0.9458874458874459,1.0,0.9585,"[614, 1386]",365.0,497.0,-0.12484680116176597,1.0,2.0,-0.010298845582944693,0.024225877319714265,0.6707509857395297,-0.05778069262347039,0.037183001457581
cifar10h,LCE,0.2,0.027346177750155354,0.011698986462508474,0.042993369037802265,0.0006139476697509469,0.9419680403700589,0.9963008631319359,0.961,"[811, 1189]",413.0,487.0,-0.04053062945604323,1.0,2.0,0.030235748628327785,0.027403839625103905,0.2698796020130052,-0.023474790074987484,0.08394628733164305
cifar10h,LCE,0.3,0.03305203938115331,0.015526620656257682,0.050577458106048925,0.00021868575474555776,0.9372509960159362,0.9949799196787149,0.9625,"[996, 1004]",433.0,424.0,0.026707880198955525,1.0,2.0,-0.000646731247161858,0.039119752626195846,0.9868099019549961,-0.07732003747862191,0.0760265749842982
cifar10h,LCE,0.4,0.04114189756507136,0.02077034155274711,0.06151345357739564,7.548654775847588e-05,0.9342723004694836,0.9921602787456446,0.9635,"[1148, 852]",452.0,409.0,0.0877069681882858,1.0,2.0,0.014573240257187425,0.03368116961582216,0.6652457128565571,-0.051440639147008776,0.08058711966138363
cifar10h,LCE,0.5,0.05870236869207002,0.034824091358377864,0.08258064602576218,1.4473112563011709e-06,0.9287671232876712,0.989763779527559,0.9675,"[1270, 730]",342.0,305.0,0.1381830945611,1.0,2.0,-0.029116492508959535,0.04565648577460631,0.523649712346144,-0.11860156028785322,0.06036857526993415
cifar10h,LCE,0.6,0.07272727272727275,0.043900015598952416,0.10155452985559303,7.625174968431073e-07,0.9262435677530018,0.9844742413549753,0.967,"[1417, 583]",297.0,261.0,0.20028463006019587,1.0,2.0,0.002253998010215197,0.04302590766816813,0.9582203363689086,-0.08207523142154007,0.08658322744197046
cifar10h,LCE,0.7,0.097770154373928,0.06319204536641967,0.13234826338143624,2.993278461846253e-08,0.9125,0.974375,0.9675,"[1600, 400]",361.0,292.0,0.28486884385347366,1.0,2.0,-0.0827665832971316,0.046045175025508214,0.0722549650552926,-0.17301346800897088,0.007480301414707666
cifar10h,LCE,0.8,0.12569832402234637,0.07804392600708676,0.17335272203760593,2.3433199608603154e-07,0.9288256227758007,0.9656777196044212,0.9615,"[1719, 281]",155.0,135.0,0.34806992858648295,1.0,2.0,0.24229407255851965,0.08864123969285372,0.0062679628398096595,0.06856043521554409,0.4160277099014952
cifar10h,LCE,0.9,0.19277108433734935,0.11970935885119481,0.2658328098235041,2.324662025896386e-07,0.9439252336448598,0.9529846804014791,0.955,"[1893, 107]",94.0,59.0,0.4506622031331062,1.0,2.0,-0.028409436429126078,0.12848365569193243,0.8250042672285292,-0.28023277418735837,0.2234139013291062
cifar10h,SP,0.1,0.02429596907785747,0.00981117640872748,0.03878076174698758,0.0010106957923700032,0.9444850255661067,1.0,0.958,"[631, 1369]",631.0,563.0,0.00048622488975517497,1.0,2.0,-0.02855478608350903,0.015066729958271687,0.05806310220130027,-0.058085034166512214,0.0009754619994941476
cifar10h,SP,0.2,0.028930817610062887,0.012536075356330487,0.0453255598637953,0.0005429285717833165,0.9392712550607287,1.0,0.959,"[765, 1235]",765.0,394.0,0.0010882914066314,1.0,2.0,-0.05843263526513276,0.02154394225219685,0.006682744105580712,-0.10065798616444932,-0.016207284365816192
cifar10h,SP,0.3,0.03687943262411353,0.018738207237364968,0.055020658010861964,6.764359461071608e-05,0.9353932584269663,1.0,0.962,"[932, 1068]",932.0,309.0,0.0025898665189742253,1.0,2.0,0.02859490129791964,0.031435790224185134,0.36301828539434455,-0.03301811536703953,0.0902079179628788
cifar10h,SP,0.4,0.042914979757085026,0.02228383619866503,0.063546123315505,4.5633399921824e-05,0.9278688524590164,1.0,0.9625,"[1085, 915]",1085.0,194.0,0.0056400001049041505,1.0,2.0,-0.05947842811758952,0.05428069742764274,0.27318534092985036,-0.16586664013148525,0.046909783896306206
cifar10h,SP,0.5,0.05772994129158515,0.03332741017698229,0.08213247240618796,3.5391815913090855e-06,0.9274809160305344,1.0,0.9655,"[1214, 786]",228.0,98.0,0.01078090071678155,1.0,2.0,-0.021035320929633228,0.09455741392614687,0.8239551612297782,-0.20636444669612725,0.1642938048368608
cifar10h,SP,0.6,0.07882352941176474,0.0503880775465888,0.10725898127694061,5.539836271128966e-08,0.9196141479099679,0.9985486211901307,0.9695,"[1378, 622]",88.0,68.0,0.026621952652931175,1.0,2.0,-0.125393978639889,0.09289920762064409,0.1770848828293753,-0.30747307976866034,0.056685122488882356
cifar10h,SP,0.7,0.12199036918138051,0.08514460235839216,0.1588361360043687,8.633719446482148e-11,0.9093023255813953,0.9949044585987261,0.974,"[1570, 430]",60.0,33.0,0.07147502899169919,1.0,2.0,0.25319074067311576,0.1423950145954599,0.07538954834860524,-0.025898359512040947,0.5322798408582725
cifar10h,SP,0.8,0.20654911838790924,0.1543891221879634,0.2587091145878553,8.407013662604194e-15,0.8947368421052632,0.9825072886297376,0.977,"[1715, 285]",63.0,58.0,0.17913350462913513,1.0,2.0,-0.10015706784470568,0.14624189331490786,0.49342430830338946,-0.38678591177287397,0.1864717760834626
cifar10h,SP,0.9,0.31999999999999995,0.23415556500111795,0.40584443499888195,2.749968522526643e-13,0.9015151515151515,0.965203426124197,0.964,"[1868, 132]",32.0,32.0,0.3814554810523987,1.0,2.0,0.17998478797739348,0.17439576636862278,0.3020496693208048,-0.1618246331613688,0.5217942091161558
cifar10h,OVA,0.1,0.023770038695411833,0.009226863334031945,0.03831321405679172,0.0013578887253644354,0.9450222882615156,1.0,0.9585,"[654, 1346]",239.0,171.0,-0.6772389374673367,1.0,2.0,0.036298299352232055,0.03333041185561948,0.2761342937208393,-0.029028107474668968,0.10162470617913308
cifar10h,OVA,0.2,0.027177269919703484,0.010979380423386774,0.04337515941602028,0.0010072917688712614,0.9399499582985822,1.0,0.959,"[801, 1199]",109.0,83.0,-0.5564460344612598,1.0,2.0,0.07750479046313274,0.04519875246051735,0.0863901401093858,-0.011083136505622412,0.16609271743188792
cifar10h,OVA,0.3,0.03502501786990708,0.016569770584147134,0.053480265155667034,0.0001994685266157367,0.9335232668566001,1.0,0.9615,"[947, 1053]",231.0,194.0,-0.4081113934516906,1.0,2.0,0.015528176036679664,0.01730461312526018,0.3695358384507269,-0.018388242455229395,0.04944459452858872
cifar10h,OVA,0.4,0.04503753127606347,0.023859441671401086,0.06621562088072569,3.0717819810455725e-05,0.9259259259259259,1.0,0.964,"[1109, 891]",324.0,266.0,-0.23210013657808298,1.0,2.0,0.04058984445430247,0.031482112319971556,0.1972942852088415,-0.0211139618500865,0.10229365075869144
cifar10h,OVA,0.5,0.05572139303482582,0.03065465378494387,0.08078813228470785,1.3195001574360039e-05,0.9157303370786517,0.9984472049689441,0.965,"[1288, 712]",315.0,239.0,-0.01729556173086165,1.0,2.0,-0.08502800360879736,0.052460681740592444,0.1050616400335459,-0.1878490504247766,0.017793043207181863
cifar10h,OVA,0.6,0.0789808917197452,0.04804774221238253,0.10991404122710793,5.605651374009511e-07,0.9124343257443083,0.9930020993701889,0.968,"[1429, 571]",156.0,123.0,0.17167151719331736,1.0,2.0,0.02349724977243528,0.05599958444744807,0.6747799829104757,-0.08625991889377228,0.13325441843864283
cifar10h,OVA,0.7,0.1155866900175132,0.07632543323958532,0.154847946795441,7.917217087358834e-09,0.908883826879271,0.9891095451633568,0.97,"[1561, 439]",113.0,135.0,0.3951450511813164,1.0,2.0,0.09052983671129256,0.07006592331975303,0.1963340942837024,-0.04679684953896848,0.2278565229615536
cifar10h,OVA,0.8,0.1670886075949367,0.11515964665832526,0.21901756853154827,2.854990142823869e-10,0.8982456140350877,0.9778425655976677,0.97,"[1715, 285]",104.0,129.0,0.6163286082446575,1.0,2.0,-0.04696869919975155,0.07631774268883541,0.5382667113022569,-0.196548726251264,0.10261132785176089
cifar10h,OVA,0.9,0.25380710659898476,0.17679576650364617,0.33081844669432336,1.0506718466190016e-10,0.8951612903225806,0.9610874200426439,0.962,"[1876, 124]",135.0,110.0,0.7881251461803913,1.0,2.0,0.012405822378056541,0.10427431461772761,0.9052967896691296,-0.19196807878528807,0.21677972354140115
cifar10h,ASM,0.1,0.03267605633802817,0.017603974288919987,0.047748138387136325,2.1456056777092585e-05,0.9441930618401206,1.0,0.9585,"[674, 1326]",674.0,670.0,-0.999994569511275,1.0,2.0,-0.08005261765251848,0.027167935797984374,0.003213046510415932,-0.1333007933508643,-0.02680444195417265
cifar10h,ASM,0.2,0.0390524967989756,0.022085040532298403,0.056019953065652967,6.449955967266395e-06,0.9406196213425129,1.0,0.96,"[838, 1162]",838.0,516.0,-0.999935194226964,1.0,2.0,-0.04066727247052315,0.045330776671127664,0.3696534033915724,-0.12951396213716188,0.048179417196115557
cifar10h,ASM,0.3,0.048034934497816595,0.0290523582989387,0.06701751069669451,7.06239852425115e-07,0.9373104145601617,0.9990108803165183,0.9625,"[1011, 989]",1011.0,346.0,-0.9991398645222138,1.0,2.0,-0.018079246323481124,0.05166911146324544,0.726410490145253,-0.11934884390462784,0.08319035125766559
cifar10h,ASM,0.4,0.061962134251290824,0.039980988327463544,0.0839432801751182,3.296802973290814e-08,0.936,0.9946666666666667,0.9655,"[1125, 875]",1125.0,220.0,-0.9925643168971874,1.0,2.0,-0.10900639685322777,0.03973362899668487,0.006080116332355704,-0.18688287866180647,-0.03112991504464907
