data,method,target_coverage,CATE_Male,CATE_Female,CATE_ci_low_Male,CATE_ci_low_Female,CATE_ci_high_Male,CATE_ci_high_Female,pv_rob_Male,pv_rob_Female,acc_hum,count_female,count_males,acc_system
xray-airspace,CC,0.0,0.05357142857142857,0.002469135802469137,0.010496444363594044,-0.04323881826162691,0.09664641277926309,0.04817708986656519,0.014786558699288823,0.9156800088988682,0.8710433763188745,405,448,0.8710433763188745
xray-airspace,CC,0.1,0.06265664160401005,0.025641025641025647,0.014601761832404907,-0.02912674854158525,0.11071152137561519,0.08040879982363655,0.010603209161272198,0.35882279841553655,0.8607594936708861,312,399,0.88042203985932
xray-airspace,CC,0.2,0.07954545454545453,0.04240282685512369,0.02729738706544839,-0.015421616771768565,0.13179352202546069,0.10022727048201595,0.002845424970836197,0.150647796277844,0.8598425196850393,283,352,0.8886283704572099
xray-airspace,CC,0.3,0.09427609427609428,0.06201550387596899,0.03391527549466784,0.0006541568473761028,0.1546369130575207,0.12337685090456188,0.002204370146278091,0.04760712910568128,0.8522522522522522,258,297,0.8933177022274326
xray-airspace,CC,0.4,0.11023622047244097,0.07264957264957264,0.04331160819198526,0.007764123294107236,0.17716083275289668,0.13753502200503803,0.001244873514847923,0.028200117816289613,0.8483606557377049,234,254,0.8944900351699883
xray-airspace,CC,0.5,0.1339712918660287,0.07281553398058252,0.05862127555379597,0.0027901394383402223,0.20932130817826144,0.14284092852282482,0.0004925252872883142,0.04154412056491864,0.8433734939759037,206,209,0.8921453692848769
xray-airspace,CC,0.6,0.1506024096385542,0.09937888198757758,0.06258286019311922,0.019856710804532912,0.2386219590839892,0.17890105317062224,0.0007979071454791306,0.014310731230868552,0.8409785932721713,161,166,0.8898007033997656
xray-airspace,CC,0.7,0.23357664233576642,0.1323529411764706,0.13993928281839166,0.04602756614273128,0.3272140018531412,0.2186783162102099,1.0130137074389275e-06,0.0026558847633836474,0.8571428571428571,136,137,0.9003516998827668
xray-airspace,CC,0.8,0.33684210526315794,0.19767441860465124,0.22092139635578836,0.08624961547742131,0.45276281417052755,0.30909922173188115,1.2318518683097924e-08,0.0005068762292003332,0.8729281767955801,86,95,0.8991793669402111
xray-airspace,CC,0.9,0.4363636363636364,0.26000000000000006,0.27736908754536316,0.09386655306369912,0.5953581851819096,0.426133446936301,7.483445609508544e-08,0.002159605695757106,0.8571428571428571,50,55,0.8851113716295428
xray-airspace,DT,0.0,0.19866071428571425,0.1777777777777778,0.14770891587226045,0.11859610792622347,0.24961251269916804,0.23695944762933216,2.140623420144732e-14,3.9184238873347144e-09,0.8710433763188745,405,448,0.8710433763188745
xray-airspace,DT,0.1,0.20833333333333337,0.18372703412073488,0.15624114019466487,0.12340792615289517,0.2604255264720019,0.24404614208857459,4.558784001561622e-15,2.374152782383962e-09,0.8821292775665399,381,408,0.8640093786635404
xray-airspace,DT,0.2,0.21253405994550406,0.18518518518518512,0.1597482702058523,0.12317916672005748,0.2653198496851558,0.24719120365031277,2.9857387070050128e-15,4.811444977858305e-09,0.8913649025069638,351,367,0.8499413833528722
xray-airspace,DT,0.3,0.2269938650306748,0.19032258064516133,0.17141105852341237,0.12644002554865885,0.28257667153793725,0.2542051357416638,1.201772793661652e-15,5.244030816239053e-09,0.89937106918239,310,326,0.8382180539273154
xray-airspace,DT,0.4,0.24460431654676262,0.2324723247232472,0.18577795773367534,0.16592589244774245,0.3034306753598499,0.2990187569987519,3.649064327848723e-16,7.546254464654426e-12,0.912568306010929,271,278,0.835873388042204
xray-airspace,DT,0.5,0.24892703862660934,0.23580786026200873,0.1860887884802566,0.16238910208300752,0.31176528877296206,0.30922661844100996,8.21694987476711e-15,3.07296480160285e-10,0.9134199134199135,229,233,0.813599062133646
xray-airspace,DT,0.6,0.2681564245810056,0.23899371069182387,0.19772683419844,0.15430792332883003,0.33858601496357116,0.3236794980548177,8.493156529783672e-14,3.1793956687402547e-08,0.9201183431952663,159,179,0.7831184056271981
